fips,count,avgScore
23021,60,0.25
23023,293,0.27
23025,120,0.35
23027,206,0.27
23029,112,0.28
23031,1603,0.29
24001,245,0.34
24003,6775,0.27
24005,8650,0.23
24009,897,0.3
24011,195,0.24
24013,1519,0.33
24015,1092,0.31
24017,1447,0.1
24019,189,0.32
24021,2931,0.28
24023,65,0.34
24025,3576,0.33
24027,4783,0.24
24029,195,0.29
24031,16083,0.24
24033,8442,0.05
24035,434,0.35
24037,654,0.24
24039,115,0.19
24041,390,0.32
24043,772,0.25
24045,791,0.26
24047,299,0.3
24510,8176,0.18
25001,1695,0.3
25005,4814,0.31
25007,185,0.23
25009,7461,0.28
25013,9113,0.25
25017,26638,0.27
25019,132,0.25
25021,9191,0.28
25023,4691,0.29
25025,14849,0.21
25027,6640,0.29
26001,22,0.4
26003,15,0.36
26005,652,0.35
26007,117,0.34
26009,94,0.33
26011,41,0.36
26013,14,0.04
26015,387,0.37
26017,719,0.37
26019,90,0.28
26021,1297,0.33
26023,131,0.38
26025,1263,0.26
26027,221,0.29
26029,98,0.38
26031,60,0.32
26033,109,0.32
26035,95,0.33
26037,512,0.28
26039,47,0.4
26041,72,0.41
26043,61,0.34
26045,1157,0.27
26047,157,0.36
26049,2928,0.27
26051,76,0.41
26053,46,0.3
26055,848,0.28
26057,246,0.32
26059,182,0.34
26061,226,0.28
26063,113,0.44
26065,4881,0.24
26067,460,0.35
26069,82,0.31
26071,12,0.28
26073,908,0.28
26075,1236,0.31
26077,3689,0.26
26079,50,0.2
26081,9405,0.28
26083,9,0.29
26085,19,0.23
26087,298,0.36
26089,97,0.28
26091,555,0.31
26093,1244,0.33
26095,15,0.17
26097,35,0.34
26099,5236,0.32
26101,71,0.39
26103,381,0.31
26105,113,0.25
26107,398,0.23
26109,50,0.47
26111,880,0.28
26113,41,0.31
26115,887,0.32
26117,429,0.33
26119,17,0.35
26121,966,0.3
26123,126,0.39
26125,12758,0.28
26127,79,0.35
26129,75,0.34
26131,12,0.27
26133,68,0.37
26135,43,0.3
26137,116,0.32
26139,4317,0.31
26141,39,0.42
26143,125,0.41
26145,1164,0.3
26147,938,0.34
26149,177,0.34
26151,207,0.42
26153,27,0.29
26155,394,0.34
26157,207,0.41
26159,488,0.31
26161,7584,0.24
26163,11749,0.21
26165,122,0.33
27001,43,0.38
27003,4401,0.28
27005,142,0.33
27007,296,0.32
27009,261,0.35
27011,16,0.37
27013,1075,0.31
27015,207,0.35
27017,306,0.33
27019,1474,0.32
27021,74,0.43
27023,67,0.36
27025,432,0.34
27027,730,0.32
27029,16,0.26
27031,31,0.29
27033,54,0.39
27035,325,0.31
27037,6055,0.31
27039,255,0.38
27041,260,0.37
27043,45,0.42
27045,251,0.34
27047,131,0.36
27049,544,0.36
27051,42,0.42
27053,23202,0.25
27055,169,0.35
27057,57,0.32
27059,200,0.34
27061,179,0.34
27063,22,0.43
27065,45,0.33
27067,201,0.32
27069,14,0.35
27071,24,0.3
27073,20,0.23
27075,61,0.34
27077,8,0.34
27079,118,0.34
27081,20,0.12
27083,203,0.32
27085,258,0.32
27087,14,0.41
27089,15,0.29
27091,96,0.28
27093,128,0.36
27095,142,0.34
27097,142,0.41
27099,391,0.29
27101,36,0.32
27103,434,0.31
27105,76,0.32
27107,18,0.33
27109,4041,0.29
27111,304,0.3
27113,104,0.28
27115,107,0.33
27117,60,0.35
27119,138,0.3
27121,44,0.28
27123,9952,0.25
27125,16,0.35
27127,59,0.4
27129,50,0.39
27131,915,0.31
27133,53,0.4
27135,53,0.43
27137,2955,0.3
27139,2211,0.32
27141,682,0.33
27143,62,0.32
27145,1230,0.3
27147,388,0.32
27149,60,0.28
27151,40,0.26
27153,76,0.31
27155,7,0.11
27157,198,0.34
27159,43,0.38
27161,123,0.32
27163,3838,0.31
27165,48,0.4
27167,22,0.27
27169,785,0.36
27171,1181,0.35
27173,36,0.33
28001,53,0.14
28003,74,0.22
28005,9,0.24
28007,51,0.23
28009,11,0.09
28011,78,0.19
28013,34,0.3
28015,8,0.28
28017,29,0.39
28019,12,0.24
28021,8,-0.14
28023,26,0.35
28025,38,0.06
28027,46,0.23
28029,35,0.1
28031,32,0.01
28033,885,0.22
28035,1318,0.25
28037,10,0.02
28039,63,0.29
28041,25,0.26
28043,39,0.25
28045,127,0.32
28047,947,0.29
28049,1053,0.12
28051,25,0.15
28053,12,0.18
28055,1,-0.27
28057,30,0.27
28059,507,0.28
28061,27,0.04
28063,11,-0.12
28065,16,0.18
28067,151,0.29
28069,11,0.14
28071,836,0.28
28073,129,0.36
28075,190,0.21
28077,23,0.03
28079,50,0.01
28081,258,0.24
28083,39,0.03
28085,57,0.21
28087,142,0.18
28089,662,0.22
28091,62,0.24
28093,90,0.14
28095,65,0.16
28097,16,0.33
28099,84,0.22
28101,55,0.34
28103,18,-0.08
28105,682,0.22
28107,126,0.14
28109,119,0.3
28111,20,0.32
28113,80,0.1
28115,51,0.28
28117,18,0.41
28119,8,-0.02
28121,594,0.27
28123,76,0.26
28125,4,-0.16
28127,49,0.22
28129,16,0.2
28131,171,0.23
28133,37,0.07
28135,14,0.1
28137,89,0.29
28139,30,0.3
28141,21,0.35
28143,13,-0.06
28145,54,0.28
28147,22,0.1
28149,86,0.11
28151,70,0.03
28153,22,0.03
28155,29,0.36
28157,15,0.2
28159,44,0.12
28161,31,0.27
28163,26,0.24
29001,253,0.3
29003,57,0.36
29005,33,0.43
29007,74,0.36
29009,93,0.26
29011,22,0.45
29013,99,0.35
29015,24,0.17
29017,22,0.5
29019,3416,0.26
29021,419,0.32
29023,70,0.35
29025,23,0.36
29027,196,0.31
29029,152,0.34
29031,433,0.33
29033,33,0.21
29035,14,0.45
29037,774,0.27
29039,23,0.33
29041,14,0.22
29043,610,0.32
29045,17,0.19
29047,2625,0.29
29049,83,0.33
29051,682,0.26
29053,68,0.33
29055,42,0.37
29057,15,0.28
29059,30,0.27
29061,38,0.43
29063,26,0.45
29065,41,0.37
29067,32,0.37
29069,44,0.26
29071,515,0.34
29073,98,0.36
29075,48,0.41
29077,3402,0.29
29079,22,0.22
29081,37,0.34
29083,65,0.27
29085,12,0.32
29087,18,0.22
29089,26,0.18
29091,102,0.36
29093,12,0.26
